customer_id,recency,frequency,monetary,R,F,M,RFM_Score,Segment
12422.0,170,3,803.5600000000001,4,2,3,423,Others
12423.0,90,9,1849.1100000000001,4,4,4,444,Potential Loyalists
12424.0,164,2,1760.96,4,1,4,414,Others
12425.0,79,1,777.2,3,1,3,313,Others
12426.0,196,1,582.73,5,1,3,513,Others
12427.0,13,5,708.37,1,3,3,133,Need Attention
12428.0,27,12,7877.2,2,4,5,245,Others
12429.0,10,4,3750.4,1,2,5,125,Others
12430.0,45,1,256.4,3,1,2,312,Others
12431.0,3,18,6348.89,1,4,5,145,Others
12432.0,44,5,5059.32,3,3,5,335,Others
12433.0,11,7,13375.87,1,3,5,135,Others
12434.0,86,4,765.19,4,2,3,423,Others
12435.0,81,2,7829.89,4,1,5,415,Others
12436.0,337,1,509.01,5,1,3,513,Others
12437.0,10,19,4896.66,1,4,5,145,Others
12438.0,16,2,2906.85,1,1,5,115,Others
12441.0,487,1,173.55,5,1,1,511,Others
12442.0,182,1,172.06,4,1,1,411,Others
12444.0,1,5,5005.46,1,3,5,135,Others
12445.0,23,1,133.4,2,1,1,211,Others
12446.0,59,1,1002.3100000000001,3,1,4,314,Others
12447.0,68,1,476.49,3,1,3,313,Others
12448.0,46,1,449.45,3,1,2,312,Others
12449.0,24,4,4067.29,2,2,5,225,Others
12450.0,175,2,197.88,4,1,1,411,Others
12451.0,12,6,8933.52,1,3,5,135,Others
12452.0,18,3,428.57000000000005,1,2,2,122,At Risk
12453.0,136,1,707.09,4,1,3,413,Others
12454.0,55,2,5.684341886080802e-14,3,1,1,311,Others
12455.0,75,6,2466.86,3,3,5,335,Others
12456.0,46,4,3153.89,3,2,5,325,Others
12457.0,1,12,1917.78,1,4,4,144,Need Attention
12458.0,73,2,947.4,3,1,4,314,Others
12461.0,126,2,826.88,4,1,3,413,Others
12462.0,20,4,1124.01,2,2,4,224,Others
12463.0,7,7,1303.63,1,3,4,134,Need Attention
12464.0,12,8,1212.05,1,4,4,144,Need Attention
12465.0,19,3,733.89,2,2,3,223,Others
12468.0,145,3,724.04,4,2,3,423,Others
12471.0,1,49,18705.52,1,4,5,145,Others
12472.0,53,13,6229.4800000000005,3,4,5,345,Others
12473.0,55,9,2837.73,3,4,5,345,Others
12474.0,4,30,7064.77,1,4,5,145,Others
12475.0,55,1,723.38,3,1,3,313,Others
12476.0,17,20,6546.58,1,4,5,145,Others
12477.0,24,9,13117.01,2,4,5,245,Others
12478.0,182,1,680.99,4,1,3,413,Others
12479.0,13,3,477.3,1,2,3,123,Others
12480.0,30,4,3281.63,2,2,5,225,Others
12481.0,24,11,5574.36,2,4,5,245,Others
12483.0,19,13,2327.13,2,4,5,245,Others
12484.0,102,8,4480.87,4,4,5,445,Potential Loyalists
12488.0,11,3,1298.66,1,2,4,124,Others
12489.0,163,1,334.93,4,1,2,412,Others
12490.0,19,10,5417.93,2,4,5,245,Others
12491.0,335,1,460.40000000000003,5,1,2,512,Others
12492.0,107,2,263.21000000000004,4,1,2,412,Others
12493.0,167,3,416.79,4,2,2,422,Others
12494.0,11,13,1139.3500000000001,1,4,4,144,Need Attention
12497.0,83,1,1043.1,4,1,4,414,Others
12498.0,23,3,403.70000000000005,2,2,2,222,Others
12500.0,25,13,4206.2699999999995,2,4,5,245,Others
12501.0,163,2,2089.68,4,1,5,415,Others
12502.0,189,5,3723.87,5,3,5,535,Loyal Customers
12503.0,193,1,-1126.0,5,1,1,511,Others
12504.0,20,4,114.0,2,2,1,221,Others
12505.0,39,1,-4.5,2,1,1,211,Others
12506.0,234,1,73.5,5,1,1,511,Others
12507.0,136,4,1258.06,4,2,4,424,Others
12508.0,28,2,397.88,2,1,2,212,Others
12509.0,287,1,176.5,5,1,1,511,Others
12510.0,144,2,982.5699999999999,4,1,4,414,Others
12512.0,245,2,132.18,5,1,1,511,Others
12513.0,86,2,586.79,4,1,3,413,Others
12514.0,269,1,1017.6800000000001,5,1,4,514,Others
12515.0,356,1,383.7,5,1,2,512,Others
12516.0,5,2,1312.06,1,1,4,114,Others
12517.0,30,6,2443.65,2,3,5,235,Others
12518.0,1,5,2056.89,1,3,5,135,Others
12519.0,154,1,330.84000000000003,4,1,2,412,Others
12520.0,38,6,2582.51,2,3,5,235,Others
12521.0,144,1,599.68,4,1,3,413,Others
12522.0,41,2,192.72,3,1,1,311,Others
12523.0,10,13,1745.57,1,4,4,144,Need Attention
12524.0,11,8,4485.72,1,4,5,145,Others
12526.0,55,3,1316.66,3,2,4,324,Others
12527.0,83,3,348.71000000000004,4,2,2,422,Others
12528.0,11,8,1922.28,1,4,4,144,Need Attention
12530.0,31,5,1623.63,2,3,4,234,Promising
12531.0,16,1,125.22,1,1,1,111,At Risk
12532.0,91,1,349.83000000000004,4,1,2,412,Others
12534.0,338,1,1089.18,5,1,4,514,Others
12535.0,93,2,716.35,4,1,3,413,Others
12536.0,31,5,4106.82,2,3,5,235,Others
12538.0,61,1,363.95,3,1,2,312,Others
12539.0,24,5,3852.5,2,3,5,235,Others
12540.0,21,19,13309.04,2,4,5,245,Others
12541.0,61,3,981.18,3,2,4,324,Others
12544.0,61,2,355.7,3,1,2,312,Others
12545.0,77,2,1000.39,3,1,4,314,Others
12546.0,48,3,1141.5,3,2,4,324,Others
12547.0,199,2,207.8,5,1,1,511,Others
12548.0,168,1,95.19999999999999,4,1,1,411,Others
12550.0,81,1,964.83,4,1,4,414,Others
12551.0,360,1,168.0,5,1,1,511,Others
12552.0,41,2,437.82,3,1,2,312,Others
12553.0,1,14,3652.25,1,4,5,145,Others
12556.0,34,2,599.56,2,1,3,213,Others
12557.0,18,5,11990.960000000001,1,3,5,135,Others
12558.0,121,2,1.0658141036401503e-14,4,1,1,411,Others
12559.0,313,3,536.21,5,2,3,523,Others
12560.0,102,4,2101.39,4,2,5,425,Others
12561.0,70,1,238.85,3,1,2,312,Others
12562.0,24,7,3781.7400000000002,2,3,5,235,Others
12564.0,263,1,456.90000000000003,5,1,2,512,Others
12565.0,283,2,131.17000000000002,5,1,1,511,Others
12566.0,74,2,346.7,3,1,2,312,Others
12567.0,24,11,9114.94,2,4,5,245,Others
12569.0,1,35,4064.9900000000002,1,4,5,145,Others
12571.0,41,2,519.61,3,1,3,313,Others
12572.0,49,3,1004.72,3,2,4,324,Others
12573.0,229,1,160.54000000000002,5,1,1,511,Others
12574.0,318,1,218.45000000000002,5,1,1,511,Others
12576.0,131,6,1306.98,4,3,4,434,Potential Loyalists
12577.0,244,4,564.2,5,2,3,523,Others
12578.0,23,4,2753.36,2,2,5,225,Others
12579.0,75,3,410.72,3,2,2,322,Others
12580.0,160,1,415.7,4,1,2,412,Others
12581.0,41,1,197.71,3,1,1,311,Others
12582.0,240,2,511.36,5,1,3,513,Others
12583.0,1,18,7187.34,1,4,5,145,Others
12584.0,11,18,1893.95,1,4,4,144,Need Attention
12585.0,224,4,1982.81,5,2,4,524,Others
12586.0,19,2,179.94000000000003,2,1,1,211,Others
12587.0,303,1,144.0,5,1,1,511,Others
12588.0,41,1,214.89999999999998,3,1,1,311,Others
12589.0,30,2,646.68,2,1,3,213,Others
12590.0,6,3,9861.38,1,2,5,125,Others
12591.0,320,1,452.84999999999997,5,1,2,512,Others
12592.0,67,2,437.6,3,1,2,312,Others
12593.0,110,3,418.1,4,2,2,422,Others
12594.0,48,11,3320.2200000000003,3,4,5,345,Others
12596.0,37,2,618.27,2,1,3,213,Others
12597.0,21,5,3683.13,2,3,5,235,Others
12598.0,11,9,3002.68,1,4,5,145,Others
12599.0,34,7,1032.58,2,3,4,234,Promising
12600.0,30,11,2581.04,2,4,5,245,Others
12601.0,40,6,569.5600000000001,2,3,3,233,Promising
12602.0,1,1,153.12,1,1,1,111,At Risk
12603.0,23,1,739.1999999999999,2,1,3,213,Others
12604.0,81,2,254.18,4,1,2,412,Others
12605.0,456,1,-7.5,5,1,1,511,Others
12607.0,1,2,7.105427357601002e-15,1,1,1,111,At Risk
12609.0,80,3,1126.85,3,2,4,324,Others
12610.0,24,7,2057.99,2,3,5,235,Others
12611.0,54,1,1193.32,3,1,4,314,Others
12612.0,59,2,643.59,3,1,3,313,Others
12613.0,59,6,3218.98,3,3,5,335,Others
12614.0,161,1,315.6,4,1,2,412,Others
12615.0,73,4,2291.19,3,2,5,325,Others
12616.0,87,5,657.25,4,3,3,433,Others
12617.0,61,1,352.98,3,1,2,312,Others
12618.0,23,1,177.31,2,1,1,211,Others
12619.0,18,13,3214.81,1,4,5,145,Others
12620.0,16,3,1339.41,1,2,4,124,Others
12621.0,6,23,13612.07,1,4,5,145,Others
12622.0,234,1,180.1,5,1,1,511,Others
12623.0,130,1,305.1,4,1,2,412,Others
12624.0,108,2,641.13,4,1,3,413,Others
12625.0,6,3,2614.32,1,2,5,125,Others
12626.0,25,13,6388.35,2,4,5,245,Others
12627.0,12,7,4478.53,1,3,5,135,Others
12628.0,20,4,769.61,2,2,3,223,Others
12630.0,11,2,1270.88,1,1,4,114,Others
12631.0,59,1,640.5,3,1,3,313,Others
12633.0,1,5,2140.63,1,3,5,135,Others
12635.0,32,2,1689.18,2,1,4,214,Others
12637.0,93,10,5934.25,4,4,5,445,Potential Loyalists
12638.0,183,1,671.69,5,1,3,513,Others
12639.0,240,1,486.1,5,1,3,513,Others
12640.0,25,3,1174.58,2,2,4,224,Others
12641.0,117,1,185.9,4,1,1,411,Others
12642.0,27,3,1013.26,2,2,4,224,Others
12643.0,40,6,3344.64,2,3,5,235,Others
12644.0,307,1,477.90999999999997,5,1,3,513,Others
12645.0,111,5,1755.38,4,3,4,434,Potential Loyalists
12646.0,51,2,1346.97,3,1,4,314,Others
12647.0,24,13,3669.92,2,4,5,245,Others
12648.0,126,1,318.05,4,1,2,412,Others
12649.0,36,4,603.71,2,2,3,223,Others
12650.0,182,1,314.44,4,1,2,412,Others
12651.0,101,1,114.0,4,1,1,411,Others
12652.0,10,2,914.5300000000001,1,1,4,114,Others
12653.0,150,2,2209.85,4,1,5,415,Others
12654.0,12,5,601.98,1,3,3,133,Need Attention
12656.0,3,8,3982.72,1,4,5,145,Others
12657.0,13,5,1152.06,1,3,4,134,Need Attention
12658.0,20,1,686.05,2,1,3,213,Others
12659.0,61,1,91.68,3,1,1,311,Others
12660.0,13,1,245.10000000000002,1,1,2,112,At Risk
12662.0,24,12,3817.08,2,4,5,245,Others
12664.0,1,10,4863.88,1,4,5,145,Others
12665.0,10,2,61.75,1,1,1,111,At Risk
12666.0,362,1,-227.44,5,1,1,511,Others
12667.0,1,1,620.13,1,1,3,113,Others
12668.0,13,6,3743.1800000000003,1,3,5,135,Others
12669.0,4,4,1607.73,1,2,4,124,Others
12670.0,12,6,2986.15,1,3,5,135,Others
12672.0,332,1,225.9,5,1,1,511,Others
12673.0,243,2,610.52,5,1,3,513,Others
12674.0,13,7,1922.26,1,3,4,134,Need Attention
12676.0,26,6,1331.39,2,3,4,234,Promising
12678.0,44,13,17588.26,3,4,5,345,Others
12679.0,1,9,1058.67,1,4,4,144,Need Attention
12680.0,32,4,862.81,2,2,3,223,Others
12681.0,16,27,13677.59,1,4,5,145,Others
12682.0,3,31,12279.82,1,4,5,145,Others
12683.0,6,20,8221.09,1,4,5,145,Others
12684.0,26,7,2283.63,2,3,5,235,Others
12685.0,30,6,2863.08,2,3,5,235,Others
12686.0,640,1,89.14,5,1,1,511,Others
12688.0,115,1,4873.81,4,1,5,415,Others
12689.0,27,2,1247.6100000000001,2,1,4,214,Others
12690.0,207,1,389.01,5,1,2,512,Others
12691.0,1,6,1035.8,1,3,4,134,Need Attention
12693.0,6,6,830.96,1,3,3,133,Need Attention
12694.0,72,2,869.67,3,1,3,313,Others
12695.0,109,4,582.1,4,2,3,423,Others
12697.0,23,5,939.02,2,3,4,234,Promising
12700.0,128,6,4867.99,4,3,5,435,Others
12701.0,37,2,797.71,2,1,3,213,Others
12702.0,21,1,219.0,2,1,1,211,Others
12703.0,72,2,274.7,3,1,2,312,Others
12704.0,24,10,2220.84,2,4,5,245,Others
12705.0,17,14,6814.24,1,4,5,145,Others
12707.0,294,1,603.42,5,1,3,513,Others
12708.0,38,16,2616.32,2,4,5,245,Others
12709.0,1,26,9264.1,1,4,5,145,Others
12710.0,203,4,1130.57,5,2,4,524,Others
12712.0,10,17,4241.63,1,4,5,145,Others
12713.0,90,1,848.55,4,1,3,413,Others
12714.0,11,5,4708.86,1,3,5,135,Others
12715.0,108,1,343.36,4,1,2,412,Others
12716.0,135,2,1053.49,4,1,4,414,Others
12717.0,34,3,980.98,2,2,4,224,Others
12718.0,73,1,238.25,3,1,2,312,Others
12719.0,31,3,608.1,2,2,3,223,Others
12720.0,4,29,5713.28,1,4,5,145,Others
12721.0,81,7,2628.98,4,3,5,435,Others
12722.0,4,6,904.33,1,3,4,134,Need Attention
12723.0,18,5,725.07,1,3,3,133,Need Attention
12724.0,40,4,1031.41,2,2,4,224,Others
12725.0,640,1,427.8,5,1,2,512,Others
12726.0,30,7,2609.1,2,3,5,235,Others
12727.0,12,9,3947.7000000000003,1,4,5,145,Others
12728.0,40,4,836.33,2,2,3,223,Others
12729.0,115,1,453.01,4,1,2,412,Others
12731.0,25,14,18793.41,2,4,5,245,Others
12732.0,181,1,236.26000000000002,4,1,2,412,Others
12733.0,236,1,383.95,5,1,2,512,Others
12734.0,355,1,110.39999999999999,5,1,1,511,Others
12735.0,193,2,779.5699999999999,5,1,3,513,Others
12736.0,40,1,234.0,2,1,2,212,Others
12738.0,667,1,155.35,5,1,1,511,Others
12739.0,80,2,1013.04,3,1,4,314,Others
12740.0,154,1,427.6,4,1,2,412,Others
12743.0,136,2,540.13,4,1,3,413,Others
12744.0,53,10,9120.39,3,4,5,345,Others
12747.0,24,11,4196.01,2,4,5,245,Others
12748.0,5,224,28405.56,1,4,5,145,Others
12749.0,24,8,3868.2,2,4,5,245,Others
12750.0,278,1,275.88,5,1,2,512,Others
12752.0,83,1,4366.78,4,1,5,415,Others
12753.0,24,11,21024.01,2,4,5,245,Others
12754.0,161,5,2949.12,4,3,5,435,Others
12755.0,161,4,2203.2000000000003,4,2,5,425,Others
12756.0,88,1,112.08,4,1,1,411,Others
12757.0,5,19,4205.25,1,4,5,145,Others
12758.0,118,2,2791.59,4,1,5,415,Others
12759.0,54,3,1531.44,3,2,4,324,Others
12762.0,27,2,1898.52,2,1,4,214,Others
12763.0,140,2,494.08,4,1,3,413,Others
12764.0,319,1,1693.88,5,1,4,514,Others
12766.0,59,7,6989.63,3,3,5,335,Others
12769.0,240,1,1143.6,5,1,4,514,Others
12770.0,212,1,1351.45,5,1,4,514,Others
12772.0,31,1,892.47,2,1,3,213,Others
12775.0,19,6,1351.24,2,3,4,234,Promising
12778.0,21,7,804.23,2,3,3,233,Promising
12779.0,23,12,3868.7,2,4,5,245,Others
12781.0,23,5,707.72,2,3,3,233,Promising
12782.0,151,6,2273.32,4,3,5,435,Others
12783.0,55,8,1603.87,3,4,4,344,New Customers
12784.0,11,2,532.82,1,1,3,113,Others
12785.0,152,2,305.71,4,1,2,412,Others
12787.0,11,3,463.66,1,2,3,123,Others
12789.0,215,1,91.85,5,1,1,511,Others
12790.0,194,1,324.92,5,1,2,512,Others
12791.0,699,1,192.60000000000002,5,1,1,511,Others
12792.0,258,1,400.54,5,1,2,512,Others
12793.0,101,2,545.48,4,1,3,413,Others
12794.0,55,2,860.41,3,1,3,313,Others
12795.0,20,1,430.48,2,1,2,212,Others
12797.0,363,3,194.18,5,2,1,521,Others
12798.0,12,3,6977.04,1,2,5,125,Others
12802.0,96,2,412.58,4,1,2,412,Others
12808.0,127,3,483.65000000000003,4,2,3,423,Others
12809.0,170,2,484.36,4,1,3,413,Others
12811.0,262,3,514.85,5,2,3,523,Others
12812.0,46,1,229.64000000000001,3,1,1,311,Others
12814.0,103,1,125.92,4,1,1,411,Others
12815.0,149,2,1063.46,4,1,4,414,Others
12816.0,178,2,572.2,4,1,3,413,Others
12817.0,283,1,166.04000000000002,5,1,1,511,Others
12818.0,180,2,1517.88,4,1,4,414,Others
12820.0,46,4,942.34,3,2,4,324,Others
12821.0,97,1,92.72,4,1,1,411,Others
12822.0,72,3,918.98,3,2,4,324,Others
12823.0,76,5,1759.5,3,3,4,334,New Customers
12824.0,31,1,397.12,2,1,2,212,Others
12826.0,61,8,1468.1200000000001,3,4,4,344,New Customers
12827.0,46,3,430.15,3,2,2,322,Others
12828.0,114,6,1018.71,4,3,4,434,Potential Loyalists
12829.0,163,3,253.05,4,2,2,422,Others
12830.0,93,7,6748.4,4,3,5,435,Others
12831.0,264,1,215.05,5,1,1,511,Others
12832.0,153,2,383.03000000000003,4,1,2,412,Others
12833.0,147,1,417.38,4,1,2,412,Others
12834.0,312,1,312.38,5,1,2,512,Others
12836.0,31,4,2610.36,2,2,5,225,Others
12837.0,175,1,134.1,4,1,1,411,Others
12838.0,183,2,671.95,5,1,3,513,Others
12839.0,13,16,5583.62,1,4,5,145,Others
12840.0,66,6,2714.27,3,3,5,335,Others
12841.0,5,26,3845.63,1,4,5,145,Others
12842.0,72,2,1118.99,3,1,4,314,Others
12843.0,67,9,1680.76,3,4,4,344,New Customers
12844.0,61,2,325.96000000000004,3,1,2,312,Others
12845.0,269,4,354.09000000000003,5,2,2,522,Others
12847.0,24,1,843.64,2,1,3,213,Others
12849.0,122,2,1010.29,4,1,4,414,Others
12851.0,246,1,131.81,5,1,1,511,Others
12852.0,293,2,299.75,5,1,2,512,Others
12853.0,97,9,1881.7,4,4,4,444,Potential Loyalists
12854.0,7,5,1280.9,1,3,4,134,Need Attention
12855.0,668,1,38.1,5,1,1,511,Others
12856.0,20,8,2153.53,2,4,5,245,Others
12857.0,70,2,1106.4,3,1,4,314,Others
12863.0,54,2,504.2,3,1,3,313,Others
12864.0,140,1,147.12,4,1,1,411,Others
12865.0,28,3,1548.07,2,2,4,224,Others
12866.0,343,1,559.12,5,1,3,513,Others
12867.0,28,10,3958.74,2,4,5,245,Others
12868.0,10,6,1607.0600000000002,1,3,4,134,Need Attention
12870.0,487,1,-14.899999999999999,5,1,1,511,Others
12871.0,86,2,380.64,4,1,2,412,Others
12872.0,329,2,599.97,5,1,3,513,Others
12873.0,312,1,374.0,5,1,2,512,Others
12875.0,145,2,343.2300000000001,4,1,2,412,Others
12876.0,59,2,2218.02,3,1,5,315,Others
12877.0,26,12,1535.77,2,4,4,244,Promising
12878.0,20,3,841.64,2,2,3,223,Others
12879.0,46,4,552.57,3,2,3,323,Others
12881.0,99,1,298.0,4,1,2,412,Others
12882.0,11,2,1463.04,1,1,4,114,Others
12883.0,26,4,703.47,2,2,3,223,Others
12884.0,2,1,309.05,1,1,2,112,At Risk
12885.0,33,4,1158.27,2,2,4,224,Others
12886.0,67,3,1351.09,3,2,4,324,Others
12888.0,97,4,313.77,4,2,2,422,Others
12890.0,25,1,376.71999999999997,2,1,2,212,Others
12891.0,158,3,331.0,4,2,2,422,Others
12893.0,91,1,176.55,4,1,1,411,Others
12895.0,44,3,347.3,3,2,2,322,Others
12897.0,39,2,216.5,2,1,1,211,Others
12901.0,12,36,16293.1,1,4,5,145,Others
12902.0,266,1,138.68,5,1,1,511,Others
12904.0,20,2,496.06,2,1,3,213,Others
12906.0,13,5,2919.81,1,3,5,135,Others
12908.0,1,4,246.0,1,2,2,122,At Risk
12909.0,41,8,2128.83,3,4,5,345,Others
12910.0,7,8,3075.04,1,4,5,145,Others
12912.0,16,5,1662.3,1,3,4,134,Need Attention
12913.0,17,5,2483.63,1,3,5,135,Others
12915.0,150,2,363.65,4,1,2,412,Others
12916.0,140,5,2921.15,4,3,5,435,Others
12917.0,278,1,594.0,5,1,3,513,Others
12919.0,3,8,1301.44,1,4,4,144,Need Attention
12920.0,19,1,162.78,2,1,1,211,Others
12921.0,5,50,16389.74,1,4,5,145,Others
12922.0,339,1,405.38,5,1,2,512,Others
12923.0,184,1,172.82,5,1,1,511,Others
12924.0,2,5,929.95,1,3,4,134,Need Attention
12925.0,76,2,694.05,3,1,3,313,Others
12928.0,7,5,2062.7,1,3,5,135,Others
12929.0,94,2,105.1,4,1,1,411,Others
12930.0,80,4,409.90000000000003,3,2,2,322,Others
12931.0,23,20,33462.81,2,4,5,245,Others
12933.0,26,4,606.28,2,2,3,223,Others
12935.0,28,8,2156.45,2,4,5,245,Others
12936.0,18,5,1012.9,1,3,4,134,Need Attention
12937.0,17,4,1504.27,1,2,4,124,Others
12938.0,27,1,114.14,2,1,1,211,Others
12939.0,38,8,11581.8,2,4,5,245,Others
12940.0,48,4,862.44,3,2,3,323,Others
12942.0,133,3,675.6,4,2,3,423,Others
12943.0,39,1,-3.75,2,1,1,211,Others
12944.0,244,2,604.51,5,1,3,513,Others
12945.0,291,1,462.95,5,1,2,512,Others
12947.0,66,11,1407.29,3,4,4,344,New Customers
12948.0,18,8,2053.7,1,4,5,145,Others
12949.0,91,10,4143.02,4,4,5,445,Potential Loyalists
12950.0,26,3,1843.0,2,2,4,224,Others
12951.0,165,8,1042.07,4,4,4,444,Potential Loyalists
12952.0,45,5,1382.84,3,3,4,334,New Customers
12953.0,11,1,329.85,1,1,2,112,At Risk
12955.0,18,14,4734.26,1,4,5,145,Others
12956.0,192,1,108.07,5,1,1,511,Others
12957.0,11,12,3979.04,1,4,5,145,Others
12962.0,115,2,266.39,4,1,2,412,Others
12963.0,12,9,1841.03,1,4,4,144,Need Attention
12965.0,32,1,769.8100000000001,2,1,3,213,Others
12966.0,11,1,160.18,1,1,1,111,At Risk
12967.0,70,4,1194.75,3,2,4,324,Others
12968.0,114,1,135.95,4,1,1,411,Others
12970.0,303,4,405.47,5,2,2,522,Others
12971.0,10,89,10930.26,1,4,5,145,Others
12974.0,199,1,144.8,5,1,1,511,Others
12976.0,6,1,738.6,1,1,3,113,Others
12977.0,187,1,39.239999999999995,5,1,1,511,Others
12980.0,10,12,7092.06,1,4,5,145,Others
12981.0,61,2,372.21999999999997,3,1,2,312,Others
12982.0,37,2,377.2,2,1,2,212,Others
12984.0,20,1,97.5,2,1,1,211,Others
12985.0,30,3,1215.6200000000001,2,2,4,224,Others
12987.0,75,3,545.0,3,2,3,323,Others
12988.0,295,1,505.82,5,1,3,513,Others
12989.0,2,19,6854.51,1,4,5,145,Others
12990.0,122,3,409.5,4,2,2,422,Others
12991.0,25,2,503.76,2,1,3,213,Others
12993.0,25,4,414.76,2,2,2,222,Others
12994.0,33,5,902.22,2,3,3,233,Promising
12995.0,79,2,200.72,3,1,1,311,Others
12997.0,2,7,1197.94,1,3,4,134,Need Attention
12999.0,129,3,455.88,4,2,2,422,Others
13000.0,108,3,534.85,4,2,3,423,Others
13001.0,24,15,9765.07,2,4,5,245,Others
13002.0,321,1,120.95,5,1,1,511,Others
13003.0,34,3,149.05,2,2,1,221,Others
13004.0,13,22,5613.43,1,4,5,145,Others
13005.0,129,3,468.95,4,2,3,423,Others
13006.0,58,1,81.57,3,1,1,311,Others
13008.0,326,2,178.47,5,1,1,511,Others
13011.0,667,1,50.550000000000004,5,1,1,511,Others
13012.0,11,11,1296.6200000000001,1,4,4,144,Need Attention
13013.0,4,15,4786.99,1,4,5,145,Others
13014.0,12,16,3365.43,1,4,5,145,Others
13015.0,55,5,3339.64,3,3,5,335,Others
13016.0,75,3,789.89,3,2,3,323,Others
13017.0,303,1,204.0,5,1,1,511,Others
13018.0,18,29,7272.75,1,4,5,145,Others
13021.0,27,12,2584.4,2,4,5,245,Others
13023.0,184,2,689.9,5,1,3,513,Others
13026.0,26,8,936.15,2,4,4,244,Promising
13027.0,115,6,6912.0,4,3,5,435,Others
13028.0,24,3,659.68,2,2,3,223,Others
13029.0,91,3,1247.5,4,2,4,424,Others
13030.0,13,2,752.44,1,1,3,113,Others
13032.0,54,3,996.52,3,2,4,324,Others
13033.0,360,1,190.55,5,1,1,511,Others
13034.0,56,2,642.77,3,1,3,313,Others
13035.0,59,3,886.63,3,2,3,323,Others
13037.0,140,3,881.07,4,2,3,423,Others
13038.0,82,3,908.46,4,2,4,424,Others
13040.0,183,2,676.99,5,1,3,513,Others
13043.0,38,2,471.57,2,1,3,213,Others
13044.0,294,1,560.47,5,1,3,513,Others
13045.0,337,1,305.28000000000003,5,1,2,512,Others
13046.0,91,2,629.31,4,1,3,413,Others
13047.0,48,18,3079.1,3,4,5,345,Others
13048.0,16,5,1789.41,1,3,4,134,Need Attention
13049.0,184,2,656.6800000000001,5,1,3,513,Others
13050.0,10,28,5684.61,1,4,5,145,Others
13052.0,36,1,348.15000000000003,2,1,2,212,Others
13055.0,67,4,1201.96,3,2,4,324,Others
13058.0,1,3,271.40000000000003,1,2,2,122,At Risk
13059.0,251,1,183.4,5,1,1,511,Others
